@relation airline_passengers_predicted_predicted

@attribute passenger_numbers numeric
@attribute predictedDate numeric
@attribute predictedpredictedDate numeric
@attribute Date date yyyy-MM-dd

@data
112,-474768412500,-474768412500,1949-01-01
118,-474768412500,-474768412500,1949-02-01
132,-474768412500,-474768412500,1949-03-01
129,-474768412500,-474768412500,1949-04-01
121,-474768412500,-474768412500,1949-05-01
135,-474768412500,-474768412500,1949-06-01
148,-474768412500,-474768412500,1949-07-01
148,-474768412500,-474768412500,1949-08-01
136,-474768412500,-474768412500,1949-09-01
119,-474768412500,-474768412500,1949-10-01
104,-474768412500,-474768412500,1949-11-01
118,-474768412500,-474768412500,1949-12-01
115,-474768412500,-474768412500,1950-01-01
126,-474768412500,-474768412500,1950-02-01
141,-474768412500,-474768412500,1950-03-01
135,-474768412500,-474768412500,1950-04-01
125,-474768412500,-474768412500,1950-05-01
149,-474768412500,-474768412500,1950-06-01
170,-474768412500,-474768412500,1950-07-01
170,-474768412500,-474768412500,1950-08-01
158,-474768412500,-474768412500,1950-09-01
133,-474768412500,-474768412500,1950-10-01
114,-474768412500,-474768412500,1950-11-01
140,-474768412500,-474768412500,1950-12-01
145,-474768412500,-474768412500,1951-01-01
150,-474768412500,-474768412500,1951-02-01
178,-474768412500,-474768412500,1951-03-01
163,-474768412500,-474768412500,1951-04-01
172,-474768412500,-474768412500,1951-05-01
178,-474768412500,-474768412500,1951-06-01
199,-474768412500,-474768412500,1951-07-01
199,-474768412500,-474768412500,1951-08-01
184,-474768412500,-474768412500,1951-09-01
162,-474768412500,-474768412500,1951-10-01
146,-474768412500,-474768412500,1951-11-01
166,-474768412500,-474768412500,1951-12-01
171,-474768412500,-474768412500,1952-01-01
180,-474768412500,-474768412500,1952-02-01
193,-474768412500,-474768412500,1952-03-01
181,-474768412500,-474768412500,1952-04-01
183,-474768412500,-474768412500,1952-05-01
218,-474768412500,-474768412500,1952-06-01
230,-474768412500,-474768412500,1952-07-01
242,-474768412500,-474768412500,1952-08-01
209,-474768412500,-474768412500,1952-09-01
191,-474768412500,-474768412500,1952-10-01
172,-474768412500,-474768412500,1952-11-01
194,-474768412500,-474768412500,1952-12-01
196,-474768412500,-474768412500,1953-01-01
196,-474768412500,-474768412500,1953-02-01
236,-474768412500,-474768412500,1953-03-01
235,-474768412500,-474768412500,1953-04-01
229,-474768412500,-474768412500,1953-05-01
243,-474768412500,-474768412500,1953-06-01
264,-474768412500,-474768412500,1953-07-01
272,-474768412500,-474768412500,1953-08-01
237,-474768412500,-474768412500,1953-09-01
211,-474768412500,-474768412500,1953-10-01
180,-474768412500,-474768412500,1953-11-01
201,-474768412500,-474768412500,1953-12-01
204,-474768412500,-474768412500,1954-01-01
188,-474768412500,-474768412500,1954-02-01
235,-474768412500,-474768412500,1954-03-01
227,-474768412500,-474768412500,1954-04-01
234,-474768412500,-474768412500,1954-05-01
264,-474768412500,-474768412500,1954-06-01
302,-474768412500,-474768412500,1954-07-01
293,-474768412500,-474768412500,1954-08-01
259,-474768412500,-474768412500,1954-09-01
229,-474768412500,-474768412500,1954-10-01
203,-474768412500,-474768412500,1954-11-01
229,-474768412500,-474768412500,1954-12-01
242,-474768412500,-474768412500,1955-01-01
233,-474768412500,-474768412500,1955-02-01
267,-474768412500,-474768412500,1955-03-01
269,-474768412500,-474768412500,1955-04-01
270,-474768412500,-474768412500,1955-05-01
315,-474768412500,-474768412500,1955-06-01
364,-474768412500,-474768412500,1955-07-01
347,-474768412500,-474768412500,1955-08-01
312,-474768412500,-474768412500,1955-09-01
274,-474768412500,-474768412500,1955-10-01
237,-474768412500,-474768412500,1955-11-01
278,-474768412500,-474768412500,1955-12-01
284,-474768412500,-474768412500,1956-01-01
277,-474768412500,-474768412500,1956-02-01
317,-474768412500,-474768412500,1956-03-01
313,-474768412500,-474768412500,1956-04-01
318,-474768412500,-474768412500,1956-05-01
374,-474768412500,-474768412500,1956-06-01
413,-474768412500,-474768412500,1956-07-01
405,-474768412500,-474768412500,1956-08-01
355,-474768412500,-474768412500,1956-09-01
306,-474768412500,-474768412500,1956-10-01
271,-474768412500,-474768412500,1956-11-01
306,-474768412500,-474768412500,1956-12-01
315,-474768412500,-474768412500,1957-01-01
301,-474768412500,-474768412500,1957-02-01
356,-474768412500,-474768412500,1957-03-01
348,-474768412500,-474768412500,1957-04-01
355,-474768412500,-474768412500,1957-05-01
422,-474768412500,-474768412500,1957-06-01
465,-474768412500,-474768412500,1957-07-01
467,-474768412500,-474768412500,1957-08-01
404,-474768412500,-474768412500,1957-09-01
347,-474768412500,-474768412500,1957-10-01
305,-474768412500,-474768412500,1957-11-01
336,-474768412500,-474768412500,1957-12-01
340,-474768412500,-474768412500,1958-01-01
318,-474768412500,-474768412500,1958-02-01
362,-474768412500,-474768412500,1958-03-01
348,-474768412500,-474768412500,1958-04-01
363,-474768412500,-474768412500,1958-05-01
435,-474768412500,-474768412500,1958-06-01
491,-474768412500,-474768412500,1958-07-01
505,-474768412500,-474768412500,1958-08-01
404,-474768412500,-474768412500,1958-09-01
359,-474768412500,-474768412500,1958-10-01
310,-474768412500,-474768412500,1958-11-01
337,-474768412500,-474768412500,1958-12-01
360,-474768412500,-474768412500,1959-01-01
342,-474768412500,-474768412500,1959-02-01
406,-474768412500,-474768412500,1959-03-01
396,-474768412500,-474768412500,1959-04-01
420,-474768412500,-474768412500,1959-05-01
472,-474768412500,-474768412500,1959-06-01
548,-474768412500,-474768412500,1959-07-01
559,-474768412500,-474768412500,1959-08-01
463,-474768412500,-474768412500,1959-09-01
407,-474768412500,-474768412500,1959-10-01
362,-474768412500,-474768412500,1959-11-01
405,-474768412500,-474768412500,1959-12-01
417,-474768412500,-474768412500,1960-01-01
391,-474768412500,-474768412500,1960-02-01
419,-474768412500,-474768412500,1960-03-01
461,-474768412500,-474768412500,1960-04-01
472,-474768412500,-474768412500,1960-05-01
535,-474768412500,-474768412500,1960-06-01
622,-474768412500,-474768412500,1960-07-01
606,-474768412500,-474768412500,1960-08-01
508,-474768412500,-474768412500,1960-09-01
461,-474768412500,-474768412500,1960-10-01
390,-474768412500,-474768412500,1960-11-01
432,-474768412500,-474768412500,1960-12-01
